edad,trabajo,estado_civil,educacion,incumplimiento,balance,prestamo_vivienda,prestamo_personal,contacto,ultimo_dia_contacto,ultimo_mes_contacto,ultimo_contacto_duracion,campana,pdias,previo,presultado,y
38,administracion,divorciado,unknown,no,0,si,no,celular,18,nov,96,2,-1,0,desconocido,no
42,administracion,divorciado,superior,no,16,no,no,celular,19,nov,140,3,-1,0,desconocido,no
44,servicios,soltero,secundaria,no,106,no,no,desconocido,12,jun,109,2,-1,0,desconocido,no
44,emprendedor,casado,secundaria,no,93,no,no,celular,7,jul,125,2,-1,0,desconocido,no
26,empleado domestico,casado,superior,no,543,no,no,celular,30,ene,169,3,-1,0,desconocido,no
41,administracion,casado,superior,no,5883,no,no,celular,20,nov,182,2,-1,0,desconocido,no
55,collar azul,casado,primaria,no,627,si,no,desconocido,5,may,247,1,-1,0,desconocido,no
67,retirado,casado,unknown,no,696,no,no,telefono,17,ago,119,1,105,2,fracaso,no
56,independiente,casado,secundaria,no,784,no,si,celular,30,jul,149,2,-1,0,desconocido,no
53,admin.,casado,secundaria,no,105,no,si,celular,21,ago,74,2,-1,0,desconocido,no
68,retirado,divorciado,secundaria,no,4189,no,no,telefono,14,jul,897,2,-1,0,desconocido,si
31,tecnico,casado,secundaria,no,171,no,no,celular,27,ago,81,3,-1,0,desconocido,no
59,administracion,casado,secundaria,no,42,no,no,celular,21,nov,40,1,-1,0,desconocido,no
32,administracion,soltero,superior,no,2536,si,no,celular,26,ago,958,6,-1,0,desconocido,si
49,tecnico,casado,superior,no,1235,no,no,celular,13,ago,354,3,-1,0,desconocido,si
42,admin.,divorciado,secundaria,no,1811,si,no,desconocido,14,may,150,1,-1,0,desconocido,no
78,retirado,divorciado,primaria,no,229,no,no,telefono,22,oct,97,1,-1,0,desconocido,si
32,collar azul,casado,secundaria,no,2089,si,no,celular,14,nov,132,1,-1,0,desconocido,si
33,administracion,casado,secundaria,no,3935,si,no,celular,6,may,765,1,342,2,fracaso,si
23,servicios,soltero,superior,no,363,si,no,desconocido,30,may,16,18,-1,0,desconocido,no
38,administracion,soltero,superior,no,11971,si,no,desconocido,17,nov,609,2,101,3,fracaso,no
36,administracion,soltero,superior,no,553,no,no,celular,11,ago,106,2,-1,0,desconocido,no
52,collar azul,casado,secundaria,no,1117,si,no,celular,13,may,365,1,-1,0,desconocido,no
32,tecnico,casado,superior,no,396,si,no,celular,13,may,205,3,-1,0,desconocido,no
32,tecnico,soltero,superior,no,2204,si,no,celular,21,nov,11,4,-1,0,desconocido,no
34,administracion,soltero,superior,no,872,si,no,desconocido,7,may,105,2,-1,0,desconocido,no
55,collar azul,casado,primaria,no,145,no,no,telefono,2,feb,59,3,5,2,otro,no
26,collar azul,casado,primaria,no,0,si,no,desconocido,21,may,425,1,-1,0,desconocido,no
32,emprendedor,soltero,primaria,si,-849,si,si,celular,4,feb,204,1,-1,0,desconocido,no
61,admin.,casado,unknown,no,4629,si,no,celular,27,ene,181,1,92,1,exito,si
45,collar azul,divorciado,primaria,no,844,no,no,desconocido,5,jun,1018,3,-1,0,desconocido,si
37,tecnico,soltero,secundaria,no,228,si,no,celular,20,ago,1740,2,-1,0,desconocido,no
38,tecnico,soltero,secundaria,no,50,no,no,celular,29,ago,98,2,-1,0,desconocido,no
34,tecnico,casado,superior,no,1539,si,no,celular,15,jun,441,1,56,1,otro,si
53,collar azul,casado,secundaria,no,2231,si,no,celular,14,jul,272,3,-1,0,desconocido,no
48,admin.,casado,secundaria,no,3064,si,no,telefono,15,jul,159,2,-1,0,desconocido,no
57,administracion,casado,secundaria,no,82,no,si,telefono,4,feb,140,1,-1,0,desconocido,no
33,independiente,soltero,superior,no,2155,no,no,celular,17,nov,295,1,-1,0,desconocido,no
36,retirado,soltero,secundaria,no,101,si,si,desconocido,26,may,314,1,-1,0,desconocido,no
54,tecnico,divorciado,secundaria,no,784,si,si,desconocido,15,may,579,1,-1,0,desconocido,no
41,collar azul,casado,primaria,no,-516,no,si,telefono,8,jul,554,3,-1,0,desconocido,no
63,retirado,casado,secundaria,no,415,si,no,celular,7,oct,323,1,-1,0,desconocido,no
48,administracion,casado,superior,no,5887,no,no,celular,13,ago,227,2,-1,0,desconocido,no
48,servicios,casado,secundaria,no,1355,no,no,celular,4,jul,134,2,-1,0,desconocido,no
56,admin.,casado,secundaria,no,16873,no,no,celular,7,oct,223,1,-1,0,desconocido,no
51,collar azul,divorciado,secundaria,no,203,si,no,celular,8,may,134,1,170,5,fracaso,no
31,servicios,casado,secundaria,no,338,si,no,celular,28,ene,155,1,-1,0,desconocido,no
29,tecnico,casado,secundaria,no,444,si,no,celular,21,jul,130,4,-1,0,desconocido,no
41,administracion,casado,secundaria,no,0,no,si,celular,7,jul,630,3,-1,0,desconocido,no
32,tecnico,soltero,superior,no,360,no,no,celular,19,nov,164,2,-1,0,desconocido,no
37,administracion,casado,superior,no,0,no,no,celular,16,jul,268,2,182,3,exito,si
42,emprendedor,divorciado,superior,si,2,si,no,desconocido,5,may,380,1,-1,0,desconocido,no
31,administracion,soltero,superior,no,6248,si,no,desconocido,9,may,154,2,-1,0,desconocido,no
41,servicios,casado,superior,no,412,si,no,desconocido,3,jun,154,5,-1,0,desconocido,no
56,retirado,casado,secundaria,no,344,si,no,desconocido,15,may,221,1,-1,0,desconocido,no
54,administracion,divorciado,superior,no,3222,no,no,celular,14,ago,67,2,-1,0,desconocido,no
41,collar azul,divorciado,secundaria,no,174,si,no,celular,14,may,367,2,297,1,otro,no
40,tecnico,soltero,secundaria,no,591,no,si,celular,14,ago,87,6,-1,0,desconocido,no
50,collar azul,divorciado,primaria,no,388,no,no,celular,5,feb,701,1,-1,0,desconocido,no
40,desempleado,casado,secundaria,no,219,si,no,celular,17,nov,204,2,196,1,fracaso,no
27,admin.,divorciado,secundaria,no,451,si,no,celular,16,jul,652,1,-1,0,desconocido,si
60,retirado,casado,primaria,no,5,no,no,celular,26,ago,63,2,-1,0,desconocido,no
28,admin.,soltero,secundaria,no,177,si,si,celular,6,may,150,1,-1,0,desconocido,no
52,servicios,casado,secundaria,no,657,no,no,telefono,7,jul,398,2,460,2,fracaso,si
37,administracion,casado,superior,no,1315,no,no,celular,30,jun,224,1,-1,0,desconocido,si
51,collar azul,casado,primaria,no,1466,si,no,desconocido,7,may,406,2,-1,0,desconocido,no
41,tecnico,soltero,secundaria,no,879,no,si,celular,7,jul,60,4,-1,0,desconocido,no
35,collar azul,soltero,primaria,no,293,si,no,desconocido,30,may,521,2,-1,0,desconocido,no
38,admin.,casado,secundaria,no,424,si,no,celular,17,abr,279,1,-1,0,desconocido,no
34,collar azul,casado,secundaria,no,1831,si,no,desconocido,20,may,203,2,-1,0,desconocido,no
39,collar azul,casado,primaria,no,111,no,no,celular,18,nov,201,2,-1,0,desconocido,no
34,collar azul,casado,primaria,no,455,si,no,desconocido,20,jun,372,3,-1,0,desconocido,no
27,servicios,soltero,secundaria,no,-195,si,no,celular,18,may,391,1,-1,0,desconocido,si
32,administracion,soltero,superior,no,3616,no,no,celular,14,ago,165,2,-1,0,desconocido,no
57,collar azul,casado,secundaria,no,14093,no,no,celular,11,ago,231,5,-1,0,desconocido,no
41,desconocido,soltero,superior,no,1567,no,no,celular,1,jul,291,2,-1,0,desconocido,no
41,admin.,casado,superior,no,5426,si,no,desconocido,14,may,149,2,-1,0,desconocido,no
30,admin.,soltero,superior,no,261,no,no,celular,19,oct,233,1,137,20,fracaso,no
36,collar azul,divorciado,secundaria,no,2843,no,no,celular,12,feb,473,1,182,1,exito,no
31,desempleado,soltero,primaria,no,406,no,no,celular,4,feb,736,1,-1,0,desconocido,si
36,collar azul,casado,secundaria,no,0,si,no,desconocido,6,may,337,1,-1,0,desconocido,no
38,administracion,soltero,superior,no,493,si,no,celular,11,may,553,1,367,7,fracaso,no
49,tecnico,casado,secundaria,no,5996,no,no,telefono,21,nov,345,2,-1,0,desconocido,no
57,servicios,soltero,primaria,no,3777,si,no,telefono,13,may,65,2,-1,0,desconocido,no
34,administracion,soltero,secundaria,no,524,no,no,desconocido,13,ago,9,1,-1,0,desconocido,no
32,administracion,soltero,superior,no,574,si,no,celular,14,abr,259,2,145,3,fracaso,no
37,collar azul,casado,secundaria,no,427,si,si,desconocido,9,jun,371,3,-1,0,desconocido,no
33,independiente,casado,superior,no,483,si,no,celular,3,feb,280,2,-1,0,desconocido,no
56,desempleado,casado,primaria,no,3391,no,no,celular,21,abr,243,1,-1,0,desconocido,si
27,empleado domestico,casado,primaria,no,0,si,no,celular,23,jul,435,3,-1,0,desconocido,no
21,estudiante,soltero,secundaria,no,2488,no,no,celular,30,jun,258,6,169,3,exito,si
58,administracion,casado,superior,no,1517,si,no,telefono,29,jul,7,5,-1,0,desconocido,no
32,independiente,casado,secundaria,no,217,si,si,celular,15,jul,317,5,-1,0,desconocido,no
33,collar azul,soltero,secundaria,no,22,no,no,celular,30,ene,76,2,207,1,fracaso,no
25,estudiante,soltero,secundaria,no,331,no,no,telefono,26,ago,170,4,-1,0,desconocido,si
25,tecnico,soltero,secundaria,no,505,no,si,celular,17,nov,386,2,-1,0,desconocido,si
30,servicios,casado,secundaria,no,1808,si,no,celular,18,may,83,2,-1,0,desconocido,no
22,admin.,soltero,secundaria,no,4111,no,si,celular,19,ago,65,1,-1,0,desconocido,no
39,collar azul,casado,primaria,no,52,no,no,celular,13,ago,69,1,-1,0,desconocido,no
46,administracion,divorciado,superior,no,25,no,no,desconocido,17,jun,564,2,-1,0,desconocido,no
31,admin.,divorciado,secundaria,no,1890,si,no,celular,21,jul,588,1,-1,0,desconocido,no
45,collar azul,casado,primaria,no,419,no,no,celular,18,ago,113,4,-1,0,desconocido,no
32,tecnico,casado,secundaria,no,2693,si,no,desconocido,21,may,16,1,-1,0,desconocido,no
36,collar azul,casado,secundaria,no,-231,no,si,celular,15,jul,779,2,-1,0,desconocido,no
51,administracion,soltero,superior,si,-55,si,no,celular,11,may,281,2,266,6,fracaso,no
34,independiente,soltero,superior,no,462,no,no,celular,21,ago,1877,3,-1,0,desconocido,si
24,desempleado,soltero,secundaria,no,119,no,no,desconocido,15,sep,51,1,-1,0,desconocido,no
45,tecnico,soltero,secundaria,no,586,no,si,celular,28,jul,32,3,-1,0,desconocido,no
32,collar azul,soltero,secundaria,no,228,no,no,telefono,5,feb,176,1,288,3,fracaso,no
77,retirado,divorciado,superior,no,4659,no,no,celular,14,abr,161,1,-1,0,desconocido,si
41,collar azul,casado,primaria,no,168,si,no,celular,18,nov,187,3,-1,0,desconocido,no
37,collar azul,casado,primaria,no,0,si,no,desconocido,26,may,24,1,-1,0,desconocido,no
43,collar azul,casado,unknown,si,-715,si,no,desconocido,30,may,67,3,-1,0,desconocido,no
48,admin.,casado,unknown,no,0,si,no,celular,8,may,85,1,168,2,fracaso,no
27,tecnico,soltero,secundaria,no,769,si,no,desconocido,9,may,317,2,-1,0,desconocido,no
33,administracion,soltero,superior,no,0,no,no,celular,28,ago,236,10,-1,0,desconocido,no
29,admin.,soltero,secundaria,no,428,si,si,celular,7,may,54,1,345,2,fracaso,no
34,administracion,soltero,superior,no,0,no,no,celular,5,feb,71,1,-1,0,desconocido,no
52,administracion,casado,superior,no,-970,si,no,celular,4,feb,489,1,-1,0,desconocido,si
60,administracion,casado,unknown,no,6313,no,no,desconocido,19,jun,39,2,-1,0,desconocido,no
32,administracion,divorciado,superior,no,948,no,no,celular,12,ago,204,2,-1,0,desconocido,no
32,administracion,soltero,superior,no,0,si,no,celular,22,jul,455,2,-1,0,desconocido,no
56,servicios,divorciado,unknown,no,1877,si,no,desconocido,30,may,86,1,-1,0,desconocido,no
31,administracion,soltero,superior,no,874,si,no,celular,18,nov,190,2,-1,0,desconocido,no
42,admin.,casado,secundaria,no,323,si,si,desconocido,8,may,280,2,-1,0,desconocido,no
35,administracion,casado,superior,no,106,no,si,celular,11,ago,588,2,-1,0,desconocido,no
56,retirado,casado,primaria,no,1906,no,si,desconocido,19,jun,45,9,-1,0,desconocido,no
48,tecnico,casado,secundaria,no,1152,si,no,celular,21,jul,168,5,-1,0,desconocido,no
46,admin.,casado,secundaria,no,179,si,no,celular,29,ene,194,4,436,1,otro,no
37,tecnico,soltero,unknown,no,391,si,no,desconocido,8,may,103,3,-1,0,desconocido,no
41,emprendedor,casado,unknown,no,89,si,no,desconocido,6,may,333,2,-1,0,desconocido,no
36,administracion,soltero,superior,no,442,si,si,celular,29,jul,102,3,-1,0,desconocido,no
45,desempleado,divorciado,primaria,si,-249,si,si,desconocido,1,jul,92,1,-1,0,desconocido,no
55,emprendedor,casado,secundaria,no,8104,no,no,celular,6,feb,213,2,-1,0,desconocido,no
39,tecnico,casado,secundaria,no,501,no,no,desconocido,26,may,289,1,-1,0,desconocido,no
35,tecnico,divorciado,secundaria,no,308,no,no,celular,22,ago,77,2,-1,0,desconocido,no
55,admin.,casado,secundaria,no,602,no,no,celular,1,jun,324,3,90,2,exito,si
55,tecnico,casado,secundaria,no,273,si,no,celular,29,ene,84,3,183,3,fracaso,no
27,independiente,soltero,secundaria,no,50,no,no,celular,29,ene,168,1,-1,0,desconocido,no
34,tecnico,casado,secundaria,no,1641,si,no,celular,17,abr,380,1,-1,0,desconocido,no
34,collar azul,casado,superior,no,20,no,no,desconocido,4,oct,10,1,-1,0,desconocido,no
25,admin.,soltero,secundaria,no,4590,si,no,desconocido,28,may,199,2,-1,0,desconocido,no
41,admin.,soltero,secundaria,no,-256,no,si,desconocido,9,may,35,3,-1,0,desconocido,no
43,servicios,casado,secundaria,no,978,si,si,desconocido,26,may,82,2,-1,0,desconocido,no
28,administracion,soltero,superior,no,80,no,no,celular,20,oct,676,2,146,2,fracaso,si
31,admin.,soltero,secundaria,no,2104,si,no,desconocido,3,jun,455,1,-1,0,desconocido,no
78,empleado domestico,casado,secundaria,no,499,no,no,telefono,16,mar,80,4,-1,0,desconocido,no
45,collar azul,divorciado,secundaria,no,1269,si,no,celular,29,ene,549,2,-1,0,desconocido,no
48,tecnico,casado,superior,no,310,no,no,desconocido,6,may,135,1,-1,0,desconocido,no
32,collar azul,soltero,secundaria,no,1143,si,si,celular,10,jul,412,1,-1,0,desconocido,no
42,tecnico,casado,secundaria,no,2980,no,no,desconocido,20,jun,101,3,-1,0,desconocido,no
37,administracion,soltero,superior,no,37,no,no,celular,28,ene,253,2,-1,0,desconocido,no
40,admin.,soltero,secundaria,no,462,si,si,celular,6,abr,272,1,335,4,otro,no
32,admin.,casado,secundaria,no,1031,si,no,celular,17,jul,84,1,-1,0,desconocido,no
42,administracion,casado,superior,no,9009,no,no,celular,20,nov,135,2,-1,0,desconocido,no
43,admin.,casado,secundaria,no,-465,si,si,celular,23,jul,166,1,-1,0,desconocido,no
44,admin.,casado,secundaria,no,5181,si,si,celular,31,jul,18,7,-1,0,desconocido,no
37,admin.,casado,secundaria,no,176,si,no,celular,5,may,147,2,347,1,fracaso,no
37,desconocido,casado,unknown,no,1699,no,no,desconocido,9,jun,63,1,-1,0,desconocido,no
37,admin.,casado,superior,no,0,si,no,celular,17,nov,65,2,119,1,fracaso,no
28,tecnico,soltero,superior,no,172,si,si,celular,2,feb,194,2,-1,0,desconocido,no
32,servicios,soltero,secundaria,no,0,no,si,celular,11,jul,333,2,-1,0,desconocido,no
34,admin.,soltero,secundaria,no,6979,si,no,celular,15,may,14,5,-1,0,desconocido,no
40,admin.,divorciado,secundaria,no,6,no,no,desconocido,11,jun,140,1,-1,0,desconocido,no
34,servicios,casado,secundaria,no,-62,si,no,desconocido,16,jun,109,3,-1,0,desconocido,no
34,independiente,casado,superior,no,1972,si,no,celular,23,jul,61,2,-1,0,desconocido,no
34,admin.,casado,superior,no,899,si,no,telefono,19,nov,377,3,7,4,exito,no
37,servicios,soltero,secundaria,no,21,si,no,celular,2,feb,96,1,271,2,otro,no
36,tecnico,casado,secundaria,no,23,si,no,celular,8,may,152,2,347,1,fracaso,no
56,retirado,casado,secundaria,no,-1206,si,no,celular,15,jun,382,2,-1,0,desconocido,si
49,collar azul,casado,primaria,no,0,si,si,telefono,23,jul,97,6,-1,0,desconocido,no
33,independiente,casado,secundaria,no,215,si,no,celular,29,jul,543,12,-1,0,desconocido,no
30,administracion,soltero,superior,no,1372,no,no,celular,20,nov,240,2,-1,0,desconocido,no
36,servicios,casado,secundaria,no,1981,no,no,desconocido,17,jun,48,2,-1,0,desconocido,no
23,estudiante,soltero,secundaria,no,9216,no,no,celular,5,jun,471,2,-1,0,desconocido,no
57,retirado,divorciado,secundaria,no,39,si,no,celular,30,jul,354,3,-1,0,desconocido,no
27,collar azul,soltero,secundaria,no,5563,si,no,desconocido,30,may,435,2,-1,0,desconocido,no
38,servicios,casado,secundaria,no,1,no,si,celular,21,nov,152,2,-1,0,desconocido,no
42,tecnico,casado,superior,no,782,no,no,celular,3,abr,285,1,-1,0,desconocido,no
75,retirado,casado,secundaria,no,3771,no,no,telefono,15,abr,185,1,181,2,exito,si
34,tecnico,soltero,superior,no,992,si,no,celular,4,may,301,1,88,2,exito,no
48,tecnico,casado,secundaria,no,1526,no,no,celular,6,ago,273,2,-1,0,desconocido,no
35,tecnico,soltero,superior,no,2658,si,no,celular,19,ago,768,2,141,3,fracaso,si
39,administracion,divorciado,superior,no,1315,si,no,celular,19,nov,1337,4,126,1,fracaso,no
29,collar azul,soltero,superior,no,455,no,no,telefono,21,abr,403,1,-1,0,desconocido,si
45,tecnico,soltero,superior,no,0,si,no,celular,18,nov,139,2,-1,0,desconocido,no
42,tecnico,casado,secundaria,no,2030,si,si,celular,9,jul,196,1,-1,0,desconocido,no
29,tecnico,casado,secundaria,no,1599,si,no,celular,8,jul,115,1,61,1,fracaso,no
38,servicios,soltero,secundaria,no,-196,si,no,celular,2,feb,60,1,271,1,fracaso,no
56,retirado,casado,secundaria,no,1333,no,no,celular,28,ago,17,14,-1,0,desconocido,no
36,tecnico,soltero,secundaria,no,9149,si,no,celular,13,ago,141,3,-1,0,desconocido,no
25,collar azul,soltero,secundaria,no,-350,si,no,desconocido,23,jun,95,3,-1,0,desconocido,no
38,tecnico,casado,superior,no,432,si,no,celular,15,may,10,2,373,1,otro,no
57,independiente,casado,secundaria,no,11494,no,no,celular,19,nov,198,1,-1,0,desconocido,no
31,administracion,casado,superior,si,-253,no,no,celular,12,ago,220,4,-1,0,desconocido,no
42,administracion,casado,superior,no,372,si,no,celular,3,ago,654,2,-1,0,desconocido,si
45,tecnico,casado,secundaria,no,1410,no,no,celular,11,ago,71,2,-1,0,desconocido,no
30,collar azul,casado,secundaria,no,975,si,no,celular,13,may,256,2,351,2,fracaso,no
49,collar azul,casado,primaria,no,305,si,si,telefono,10,jul,834,10,-1,0,desconocido,no
49,servicios,casado,secundaria,no,400,no,no,celular,21,ago,151,3,-1,0,desconocido,no
53,retirado,casado,superior,no,-22,si,no,celular,31,jul,20,3,-1,0,desconocido,no
37,tecnico,casado,secundaria,no,4030,si,no,desconocido,26,may,178,5,-1,0,desconocido,no
49,collar azul,casado,primaria,no,365,no,no,desconocido,26,may,59,2,-1,0,desconocido,no
41,independiente,casado,primaria,no,204,no,no,celular,13,ago,111,7,-1,0,desconocido,no
54,administracion,casado,primaria,no,1691,si,no,celular,20,nov,186,1,-1,0,desconocido,no
32,servicios,soltero,secundaria,no,406,si,no,desconocido,6,may,227,1,-1,0,desconocido,no
33,tecnico,casado,secundaria,no,-204,no,no,celular,15,may,297,3,-1,0,desconocido,no
33,tecnico,casado,secundaria,no,359,si,no,celular,20,abr,210,1,242,1,otro,no
36,collar azul,casado,primaria,no,123,si,no,celular,18,may,9,1,-1,0,desconocido,no
35,tecnico,casado,superior,no,0,si,si,celular,23,sep,112,1,62,6,otro,no
52,desconocido,casado,secundaria,no,142,no,no,celular,25,ago,112,6,-1,0,desconocido,no
40,emprendedor,casado,superior,no,3571,no,no,desconocido,9,jun,222,3,-1,0,desconocido,no
44,tecnico,soltero,secundaria,no,33,si,no,celular,13,may,195,3,351,10,fracaso,no
45,collar azul,soltero,secundaria,no,0,si,no,celular,26,jul,768,2,91,5,exito,no
30,estudiante,soltero,secundaria,no,3096,no,no,celular,26,ene,123,1,-1,0,desconocido,no
48,tecnico,divorciado,secundaria,si,20,no,no,celular,27,ago,145,3,-1,0,desconocido,no
33,collar azul,casado,secundaria,no,3576,si,no,celular,2,abr,124,1,308,2,otro,no
57,tecnico,casado,unknown,no,206,si,no,desconocido,5,may,216,3,-1,0,desconocido,no
57,empleado domestico,casado,primaria,no,7082,no,no,desconocido,6,jun,69,3,-1,0,desconocido,no
51,desempleado,casado,superior,no,1634,si,no,celular,22,jul,168,4,-1,0,desconocido,no
34,admin.,soltero,secundaria,no,1,si,no,celular,22,jul,483,7,-1,0,desconocido,no
50,independiente,casado,superior,no,4012,no,no,celular,19,nov,690,3,-1,0,desconocido,no
44,administracion,casado,superior,no,3762,no,no,celular,28,ago,125,12,-1,0,desconocido,no
27,admin.,casado,secundaria,no,-247,si,si,desconocido,4,jun,344,2,-1,0,desconocido,no
50,collar azul,casado,secundaria,no,606,si,no,desconocido,14,may,673,2,-1,0,desconocido,no
36,administracion,casado,superior,no,0,si,no,celular,28,ene,60,1,250,1,otro,no
42,administracion,casado,secundaria,no,-189,si,no,desconocido,12,may,247,2,-1,0,desconocido,no
32,desempleado,soltero,secundaria,no,0,no,no,celular,27,may,123,2,-1,0,desconocido,no
42,administracion,casado,superior,no,484,si,no,celular,11,jul,144,2,-1,0,desconocido,no
43,tecnico,casado,secundaria,no,0,no,si,celular,8,may,9,2,172,5,fracaso,no
31,administracion,casado,superior,no,395,si,no,celular,9,feb,155,3,-1,0,desconocido,no
32,administracion,casado,superior,no,2349,no,no,celular,14,ago,134,5,-1,0,desconocido,no
55,collar azul,divorciado,primaria,no,410,no,si,celular,11,jul,221,2,-1,0,desconocido,no
58,retirado,casado,primaria,no,3401,si,no,celular,3,feb,84,3,265,2,fracaso,no
46,collar azul,casado,primaria,no,222,no,no,celular,8,ago,71,2,-1,0,desconocido,no
55,collar azul,casado,secundaria,no,989,si,si,desconocido,23,may,246,4,-1,0,desconocido,no
34,administracion,casado,superior,no,415,no,si,celular,23,jul,361,2,-1,0,desconocido,no
28,desempleado,soltero,secundaria,no,16,no,no,celular,12,ago,119,4,-1,0,desconocido,no
42,tecnico,divorciado,superior,no,7190,si,no,celular,29,jul,375,2,-1,0,desconocido,no
29,collar azul,soltero,secundaria,no,482,no,si,celular,10,jul,1097,3,-1,0,desconocido,si
54,empleado domestico,casado,secundaria,no,209,si,si,celular,25,jul,97,1,-1,0,desconocido,no
32,tecnico,soltero,secundaria,no,0,no,no,celular,26,ago,181,2,-1,0,desconocido,no
39,tecnico,soltero,superior,no,5803,no,no,celular,2,feb,83,3,-1,0,desconocido,no
53,emprendedor,casado,superior,no,624,no,si,celular,21,jul,180,4,-1,0,desconocido,no
58,tecnico,casado,superior,no,883,no,no,celular,18,ago,543,1,78,2,fracaso,no
40,independiente,casado,secundaria,no,1516,si,si,desconocido,23,may,373,1,-1,0,desconocido,no
29,estudiante,soltero,secundaria,no,872,si,no,desconocido,7,may,230,1,-1,0,desconocido,no
33,tecnico,casado,superior,no,-988,si,si,celular,15,jul,83,3,-1,0,desconocido,no
38,admin.,soltero,secundaria,no,902,si,no,telefono,31,jul,58,13,-1,0,desconocido,no
56,servicios,divorciado,secundaria,no,1007,no,no,celular,29,jul,88,6,-1,0,desconocido,no
40,servicios,casado,secundaria,no,0,si,no,celular,2,jun,297,1,28,3,fracaso,no
24,collar azul,soltero,secundaria,no,174,si,si,celular,18,may,487,1,-1,0,desconocido,si
46,administracion,casado,secundaria,no,12186,no,no,desconocido,20,jun,29,3,-1,0,desconocido,no
35,independiente,casado,secundaria,no,524,si,no,celular,21,nov,484,4,-1,0,desconocido,no
35,collar azul,soltero,superior,no,0,si,no,celular,21,jul,262,4,-1,0,desconocido,no
34,tecnico,casado,secundaria,no,4,si,no,desconocido,15,may,644,1,-1,0,desconocido,no
35,empleado domestico,casado,superior,no,11219,no,no,celular,12,ago,699,2,79,1,fracaso,no
38,tecnico,soltero,superior,no,0,no,no,celular,28,ago,247,2,-1,0,desconocido,no
50,collar azul,casado,primaria,no,5776,no,no,celular,18,nov,49,3,-1,0,desconocido,no
51,collar azul,divorciado,primaria,no,37,si,no,celular,13,may,341,1,-1,0,desconocido,no
59,independiente,casado,superior,no,593,no,no,desconocido,13,may,64,2,-1,0,desconocido,no
32,collar azul,casado,secundaria,no,1148,si,no,celular,20,abr,121,1,-1,0,desconocido,no
37,collar azul,soltero,secundaria,no,3561,si,no,desconocido,2,jun,98,1,-1,0,desconocido,no
42,admin.,divorciado,secundaria,no,63,no,no,desconocido,16,may,88,6,-1,0,desconocido,no
40,estudiante,casado,secundaria,no,260,no,no,desconocido,20,jun,197,6,-1,0,desconocido,no
28,tecnico,soltero,superior,no,2269,si,no,desconocido,9,may,331,1,-1,0,desconocido,no
47,admin.,casado,secundaria,no,1060,si,no,desconocido,6,jun,83,3,-1,0,desconocido,no
27,independiente,casado,secundaria,no,-220,si,no,desconocido,26,may,138,2,-1,0,desconocido,no
41,administracion,casado,superior,no,49,si,no,celular,17,jul,312,5,-1,0,desconocido,no
34,admin.,casado,superior,no,69,no,si,celular,4,ago,120,3,1,6,exito,si
50,collar azul,casado,primaria,no,4108,si,no,celular,7,ago,526,2,-1,0,desconocido,si
47,collar azul,casado,secundaria,no,480,si,no,desconocido,28,may,211,2,-1,0,desconocido,no
53,servicios,casado,secundaria,no,4994,no,no,celular,18,ago,62,6,-1,0,desconocido,no
53,tecnico,divorciado,secundaria,no,0,si,si,celular,15,jul,135,5,-1,0,desconocido,no
47,administracion,casado,superior,no,3681,no,no,celular,14,ago,101,2,-1,0,desconocido,no
